id	formattedAddress	zipCode	county	latitude	longitude	propertyType	bedrooms	bathrooms	squareFootage	lotSize	yearBuilt	hoaFee	status	price	price_per_sqft	listedDate	removedDate	lastSeenDate	daysOnMarket	builderName	subdivision	mlsName	roomCount	floorCount	garage	garageSpaces	pool	fireplace	cooling	coolingType	heating	heatingType	exteriorType	foundationType	architectureType	pulled_at
PN-244768-Tbd-Rebecca-Ln,-El-Paso,-TX-79938	PN-244768 Tbd Rebecca Ln, El Paso, TX 79938	79938	El Paso	31.800252	-106.213191	Land				87120			Active	260000		2024-08-14T00:00:00.000Z		2026-08-12T11:26:10.540Z	728			Elpaso														8/12/2026
15248-Gauge-Ct,-El-Paso,-TX-79938	15248 Gauge Ct, El Paso, TX 79938	79938	El Paso	31.798686	-106.190727	Single Family	3	2.5	1527	5663	2024		Active	279950	183.33	2024-11-03T00:00:00.000Z		2026-08-12T11:26:10.538Z	647			Elpaso														8/12/2026
60-Acres-Tbd-78-Tsp-4-Sec-29-T,---P,-El-Paso,-TX-79928	60 Acres Tbd 78 Tsp 4 Sec 29 T, # P, El Paso, TX 79928	79928	El Paso	31.578557	-106.112688	Land				2613600			Active	195000		2025-01-30T00:00:00.000Z		2026-08-12T11:26:10.533Z	559			Elpaso														8/12/2026
18-Via,-Placita,-El-Paso,-TX-79927	18 Via, Placita, El Paso, TX 79927	79927	El Paso	31.682866	-106.293292	Single Family	5	4.5	4699	66211	1996	112	Active	800000	170.25	2024-10-29T00:00:00.000Z		2026-08-12T11:26:10.528Z	652			Elpaso														8/12/2026
515-Gregory-Ave,-El-Paso,-TX-79902	515 Gregory Ave, El Paso, TX 79902	79902	El Paso	31.782003	-106.502446	Single Family	3	1	1939	6970	1931		Active	399000	205.78	2024-10-04T00:00:00.000Z		2026-08-12T11:26:10.523Z	677			Elpaso														8/12/2026
426-Masoud-Ct,-El-Paso,-TX-79932	426 Masoud Ct, El Paso, TX 79932	79932	El Paso	31.882069	-106.604496	Single Family	5	3.5	2660	10890	2025		Active	584950	219.91	2024-10-05T00:00:00.000Z		2026-08-12T11:26:10.521Z	676			Elpaso														8/12/2026
15000-Arkmonk-Ave,-El-Paso,-TX-79928	15000 Arkmonk Ave, El Paso, TX 79928	79928	El Paso	31.654532	-106.151273	Multi-Family	6	2	2710	19602	2018		Active	260000	95.94	2024-10-23T00:00:00.000Z		2026-08-12T11:26:10.518Z	658			Elpaso														8/12/2026
3-Atkinson-Way,-El-Paso,-TX-79915	3 Atkinson Way, El Paso, TX 79915	79915	El Paso	31.744596	-106.365075	Single Family	4	2	2244	12197	1949		Active	240000	106.95	2024-12-04T00:00:00.000Z		2026-08-12T11:26:10.516Z	616			Elpaso														8/12/2026
15224-Gauge-Ct,-El-Paso,-TX-79938	15224 Gauge Ct, El Paso, TX 79938	79938	El Paso	31.798417	-106.190848	Single Family	3	2	1565	6098	2024		Active	289950	185.27	2024-11-22T00:00:00.000Z		2026-08-12T11:26:10.515Z	628			Elpaso														8/12/2026
15249-Gauge-Ct,-El-Paso,-TX-79938	15249 Gauge Ct, El Paso, TX 79938	79938	El Paso	31.798817	-106.190968	Single Family	3	2	1479	5663	2024		Active	302950	204.83	2024-10-24T00:00:00.000Z		2026-08-12T11:26:10.513Z	657			Elpaso														8/12/2026
15329-Promise-Ct,-El-Paso,-TX-79938	15329 Promise Ct, El Paso, TX 79938	79938	El Paso	31.809482	-106.189229	Single Family	4	2.5	2350	5663	2024		Active	362950	154.45	2025-03-03T00:00:00.000Z		2026-08-12T11:26:10.512Z	527			Elpaso														8/12/2026
12328-Ben-Dowell-Way,-El-Paso,-TX-79934	12328 Ben Dowell Way, El Paso, TX 79934	79934	El Paso	31.96419	-106.350727	Single Family	3	2	1368	4356	2025		Active	269000	196.64	2024-09-25T00:00:00.000Z		2026-08-12T11:26:10.511Z	686			Elpaso														8/12/2026
14525-Tierra-Campeon-Ave,-El-Paso,-TX-79938	14525 Tierra Campeon Ave, El Paso, TX 79938	79938	El Paso	31.77567	-106.213414	Single Family	4	2.5	2408	8276	2025		Active	552000	229.24	2025-02-14T00:00:00.000Z		2026-08-12T11:26:10.511Z	544			Elpaso														8/12/2026
8482-Alameda-Ave,-El-Paso,-TX-79907	8482 Alameda Ave, El Paso, TX 79907	79907	El Paso	31.706951	-106.346121	Land				198634			Active	950000		2024-12-10T00:00:00.000Z		2026-08-12T11:26:10.509Z	610			Elpaso														8/12/2026
