id	formattedAddress	zipCode	county	latitude	longitude	propertyType	bedrooms	bathrooms	squareFootage	lotSize	yearBuilt	lastSaleDate	lastSalePrice	price_per_sqft	source	cohort	pulled_at
MLS-901039	415 Tamarisk Street, El Paso, TX 79821	79821	El Paso	31.99688351	-106.6025612		2	2	1518	6970		8/28/2024	130000	85.64	mls	2024	8/10/2026
MLS-919688	8701 Hickory Lane, El Paso, TX 79821	79821	El Paso	31.9641819	-106.6149625		2	2	1670	39204		6/16/2025	259000	155.09	mls	2025	8/10/2026
MLS-919463	810 ELM Street, El Paso, TX 79821	79821	El Paso	31.99464713	-106.5986108		3	1	1128	6098		4/25/2025	111000	98.4	mls	2025	8/10/2026
MLS-912675	621 Bariloche Dr, El Paso, TX 79821	79821	El Paso				3	2	1512	7841		1/6/2025	229000	151.46	mls	2025	8/10/2026
MLS-914690	608 MYRIAM Drive, El Paso, TX 79821	79821	El Paso	31.99858254	-106.5794458		3	2	1873	6098		2/26/2025	269500	143.89	mls	2025	8/10/2026
MLS-896708	725 Houston Street, El Paso, TX 79821	79821	El Paso	31.78231142	-106.445108		3	3	1614	10454		4/16/2024	175000	108.43	mls	2024	8/10/2026
MLS-896546	617 EDUARDO Street, El Paso, TX 79821	79821	El Paso	31.99577186	-106.5935825		3	2	2226	8712		4/6/2024	190000	85.35	mls	2024	8/10/2026
MLS-898547	621 Myriam Drive, El Paso, TX 79821	79821	El Paso				3	2	1604	6534		6/27/2024	227000	141.52	mls	2024	8/10/2026
MLS-910724	701 Franklin Street, El Paso, TX 79821	79821	El Paso	31.99861501	-106.5997026		3	2	1936	12632		11/21/2024	184000	95.04	mls	2024	8/10/2026
MLS-915203	424 Houston Street, El Paso, TX 79821	79821	El Paso	31.78185785	-106.4449772		3	2	1102	7405		2/21/2025	138000	125.23	mls	2025	8/10/2026
MLS-916503	705 Magdalena Street, El Paso, TX 79821	79821	El Paso	31.99427939	-106.5964732		3	2	1473	10019		5/12/2025	179500	121.86	mls	2025	8/10/2026
MLS-922458	469 SANTIAGO MUNOS Street, El Paso, TX 79821	79821	El Paso				3	2	1401	5227		7/16/2025	259000	184.87	mls	2025	8/10/2026
MLS-918104	380 CHICKEN FARM Road, El Paso, TX 79821	79821	El Paso	31.94054238	-106.5951657		3	3	1064	22216		4/8/2025	155000	145.68	mls	2025	8/10/2026
MLS-902546	713 JAIME Street, El Paso, TX 79821	79821	El Paso	31.99480119	-106.5945404		3	2	1750	8712		7/21/2024	220000	125.71	mls	2024	8/10/2026
MLS-898395	803 Eduardo Street, El Paso, TX 79821	79821	El Paso	31.99391214	-106.5935859		3	2	1195	6534		5/13/2024	186000	155.65	mls	2024	8/10/2026
MLS-901172	1604 POPLAR Street, El Paso, TX 79821	79821	El Paso	31.99602956	-106.5909722		3	2	1444	8276		6/21/2024	225000	155.82	mls	2024	8/10/2026
MLS-902764	805 JAIME Street, El Paso, TX 79821	79821	El Paso	31.9939197	-106.5945339		3	2	1205	6534		8/20/2024	193000	160.17	mls	2024	8/10/2026
MLS-911677	605 MYRIAM Drive, El Paso, TX 79821	79821	El Paso				3	2	1512	6534		12/30/2024	235000	155.42	mls	2024	8/10/2026
MLS-910084	429 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				3	2	1716	6098		2/19/2025	290072	169.04	mls	2025	8/10/2026
MLS-910085	433 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				3	2	1716	5663		3/7/2025	280840	163.66	mls	2025	8/10/2026
MLS-916962	601 ANGELA Lane, El Paso, TX 79821	79821	El Paso	32.00029097	-106.5753281		3	2	1506	7405		3/14/2025	233000	154.71	mls	2025	8/10/2026
MLS-910086	437 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				3	2	1716	5663		4/22/2025	286572	167	mls	2025	8/10/2026
MLS-914993	464 Samuel Blount Court, El Paso, TX 79821	79821	El Paso				3	2	1502	0		5/31/2025	274950	183.06	mls	2025	8/10/2026
MLS-874458	7658 Cottonwood Street, El Paso, TX 79821	79821	El Paso				3	2	1450	5227		5/13/2025	264950	182.72	mls	2025	8/10/2026
MLS-925949	448 Samuel Blount Court, El Paso, TX 79821	79821	El Paso				3	2	1502	5663		7/29/2025	274950	183.06	mls	2025	8/10/2026
MLS-906908	8417 Fish Place Court, El Paso, TX 79821	79821	El Paso				3	2	1650	5663		8/15/2025	274950	166.64	mls	2025	8/10/2026
MLS-916754	441 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				3	2	1760	5663		8/15/2025	286572	162.82	mls	2025	8/10/2026
MLS-916809	445 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				3	2	1716	5663		8/15/2025	286572	167	mls	2025	8/10/2026
MLS-917445	432 Samuel Blount, El Paso, TX 79821	79821	El Paso				3	2	1502	5227		8/19/2025	274950	183.06	mls	2025	8/10/2026
MLS-925414	621 CAROL ANN Place, El Paso, TX 79821	79821	El Paso	31.99987429	-106.5787126		3	2	1512	6970		8/26/2025	235000	155.42	mls	2025	8/10/2026
MLS-916367	621 ANGELA Lane, El Paso, TX 79821	79821	El Paso	31.99984988	-106.5753425		3	3	1590	6970		2/28/2025	234000	147.17	mls	2025	8/10/2026
MLS-910475	3091 MYRIAM Drive, El Paso, TX 79821	79821	El Paso	32.00041212	-106.5752428		3	3	1567	6534		11/26/2024	235000	149.97	mls	2024	8/10/2026
MLS-908670	1401 S Vinton Road, El Paso, TX 79821	79821	El Paso				3	3	2628	155		3/7/2025	5000000	1902.59	mls	2025	8/10/2026
MLS-913699	8401 WALLY PLACE, El Paso, TX 79821	79821	El Paso				3	3	1629	6098		5/21/2025	289950	177.99	mls	2025	8/10/2026
MLS-921232	628 BELL GORDON Street, El Paso, TX 79821	79821	El Paso	31.999902	-106.5746351		3	3	1588	6970		6/8/2025	253000	159.32	mls	2025	8/10/2026
MLS-921849	8409 WALLY PLACE, El Paso, TX 79821	79821	El Paso				3	3	1605	6098		6/20/2025	285950	178.16	mls	2025	8/10/2026
MLS-904568	616 Eduardo Street, El Paso, TX 79821	79821	El Paso	31.9957708	-106.5937176		4	2	1550	10890		9/19/2024	186000	120	mls	2024	8/10/2026
MLS-915542	456 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				4	2	1851	5663		5/22/2025	293233	158.42	mls	2025	8/10/2026
MLS-918736	449 SANTIAGO MUNOS Street, El Paso, TX 79821	79821	El Paso				4	2	1639	5663		8/4/2025	292200	178.28	mls	2025	8/10/2026
MLS-918738	453 SANTIAGO MUNOS Street, El Paso, TX 79821	79821	El Paso				4	2	1636	5663		8/15/2025	291900	178.42	mls	2025	8/10/2026
MLS-918739	457 SANTIAGO MUNOS Street, El Paso, TX 79821	79821	El Paso				4	2	1579	5663		8/18/2025	287100	181.82	mls	2025	8/10/2026
MLS-907326	208 W Washington Street, El Paso, TX 79821	79821	El Paso	32.00007056	-106.6080798		4	4	5669	15682		10/1/2024	200000	35.28	mls	2024	8/10/2026
MLS-906697	324 Sol Court, El Paso, TX 79821	79821	El Paso				4	2	1562	6098		10/1/2024	249950	160.02	mls	2024	8/10/2026
MLS-914957	901 DESERT SANDS, El Paso, TX 79821	79821	El Paso	31.99128784	-106.5978393		4	2	2122	7405		2/17/2025	299900	141.33	mls	2025	8/10/2026
MLS-915018	815 ISABEL Street, El Paso, TX 79821	79821	El Paso	31.99285854	-106.5954997		4	2	1291	2178		3/21/2025	200000	154.92	mls	2025	8/10/2026
MLS-915383	464 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				4	2	1440	5663		5/7/2025	256950	178.44	mls	2025	8/10/2026
MLS-915543	452 Santiago Munos Street, El Paso, TX 79821	79821	El Paso				4	2	1440	5663		5/19/2025	256950	178.44	mls	2025	8/10/2026
